algorithm,repeat,K,T,status,cost,native_cost,cost_definition,target_ratio,post_phase_ratio,target_pulls,non_target_pulls,clipped_cost,requested_cost
Xu2021 observation-free UCB,2,5,200000,infeasible,,355930.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,355930.0
Xu2021 observation-free TS,2,5,200000,infeasible,,355930.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,355930.0
Our offline UCB,2,10,200000,ok,36885.0,36885.0,injected samples,1.0,,163065,0,0.0,36885.0
Our offline TS,2,10,200000,ok,53616.0,53616.0,injected samples,1.0,,146334,0,0.0,53616.0
Jun2018 clipped UCB,2,10,200000,failed,145914,145914,online reward-lowering modification count clipped at r_l,0.265445,,53089,146911,48911152.90160471,49028996.23493813
Zuo2024 clipped TS,2,10,200000,failed,98088,98088,online reward-lowering modification count clipped at r_l,0.505815,,101163,98837,1.0533348171305688e+18,1.0533348171306476e+18
Xu2021 observation-free UCB,2,10,200000,infeasible,,711860.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,711860.0
Xu2021 observation-free TS,2,10,200000,infeasible,,711860.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,711860.0
Our offline UCB,2,15,200000,ok,42800.0,42800.0,injected samples,1.0,,157125,0,0.0,42800.0
Our offline TS,2,15,200000,ok,61232.0,61232.0,injected samples,1.0,,138693,0,0.0,61232.0
Jun2018 clipped UCB,2,15,200000,failed,167514,167514,online reward-lowering modification count clipped at r_l,0.15615,,31230,168770,53835836.568804756,53970454.45769458
Zuo2024 clipped TS,2,15,200000,failed,131314,131314,online reward-lowering modification count clipped at r_l,0.338365,,67673,132327,1.2137940552501315e+18,1.213794055250238e+18
Xu2021 observation-free UCB,2,15,200000,infeasible,,1067788.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1067788.0
Xu2021 observation-free TS,2,15,200000,infeasible,,1067788.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1067788.0
Our offline UCB,2,20,200000,ok,47393.0,47393.0,injected samples,1.0,,152507,0,0.0,47393.0
Our offline TS,2,20,200000,ok,67104.0,67104.0,injected samples,1.0,,132796,0,0.0,67104.0
Jun2018 clipped UCB,2,20,200000,failed,176518,176518,online reward-lowering modification count clipped at r_l,0.110785,,22157,177843,52126809.089367956,52269391.978256986
Zuo2024 clipped TS,2,20,200000,failed,153185,153185,online reward-lowering modification count clipped at r_l,0.228565,,45713,154287,1.2158625039849439e+18,1.215862503985068e+18
Xu2021 observation-free UCB,2,20,200000,infeasible,,1423718.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1423718.0
Xu2021 observation-free TS,2,20,200000,infeasible,,1423718.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1423718.0
Our offline UCB,2,30,200000,ok,54450.0,54450.0,injected samples,1.0,,145400,0,0.0,54450.0
Our offline TS,2,30,200000,ok,76095.0,76095.0,injected samples,1.0,,123755,0,0.0,76095.0
Jun2018 clipped UCB,2,30,200000,failed,186058,186058,online reward-lowering modification count clipped at r_l,0.062795,,12559,187441,50516147.2755953,50664252.38670775
Zuo2024 clipped TS,2,30,200000,failed,174890,174890,online reward-lowering modification count clipped at r_l,0.119055,,23811,176189,1.0388913823484984e+18,1.0388913823486388e+18
Xu2021 observation-free UCB,2,30,200000,infeasible,,2135576.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2135576.0
Xu2021 observation-free TS,2,30,200000,infeasible,,2135576.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2135576.0
Our offline UCB,2,40,200000,ok,59919.0,59919.0,injected samples,1.0,,139881,0,0.0,59919.0
Our offline TS,2,40,200000,ok,83019.0,83019.0,injected samples,1.0,,116781,0,0.0,83019.0
Jun2018 clipped UCB,2,40,200000,failed,189993,189993,online reward-lowering modification count clipped at r_l,0.043,,8600,191400,46664081.99819669,46811812.77597461
Zuo2024 clipped TS,2,40,200000,failed,184272,184272,online reward-lowering modification count clipped at r_l,0.071865,,14373,185627,8.57508139227742e+17,8.575081392278866e+17
Xu2021 observation-free UCB,2,40,200000,infeasible,,2847434.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2847434.0
Xu2021 observation-free TS,2,40,200000,infeasible,,2847434.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2847434.0
Our offline UCB,2,50,200000,ok,64444.0,64444.0,injected samples,1.0,,135306,0,0.0,64444.0
Our offline TS,2,50,200000,ok,88697.0,88697.0,injected samples,1.0,,111053,0,0.0,88697.0
Jun2018 clipped UCB,2,50,200000,failed,192062,192062,online reward-lowering modification count clipped at r_l,0.032455,,6491,193509,43875454.31668777,44024481.20557525
Zuo2024 clipped TS,2,50,200000,failed,189160,189160,online reward-lowering modification count clipped at r_l,0.047165,,9433,190567,7.193540447329316e+17,7.193540447330804e+17
Xu2021 observation-free UCB,2,50,200000,infeasible,,3559292.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,3559292.0
Xu2021 observation-free TS,2,50,200000,infeasible,,3559292.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,3559292.0
Our offline UCB,3,5,200000,ok,27864.0,27864.0,injected samples,1.0,,172111,0,0.0,27864.0
Our offline TS,3,5,200000,ok,41979.0,41979.0,injected samples,1.0,,157996,0,0.0,41979.0
Jun2018 clipped UCB,3,5,200000,failed,91370,91370,online reward-lowering modification count clipped at r_l,0.54059,,108118,91882,30006361.172152594,30081958.94993021
Zuo2024 clipped TS,3,5,200000,failed,48605,48605,online reward-lowering modification count clipped at r_l,0.75573,,151146,48854,5.790373792180453e+17,5.790373792180858e+17
Xu2021 observation-free UCB,3,5,200000,infeasible,,355930.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,355930.0
Xu2021 observation-free TS,3,5,200000,infeasible,,355930.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,355930.0
Our offline UCB,3,10,200000,ok,36867.0,36867.0,injected samples,1.0,,163083,0,0.0,36867.0
Our offline TS,3,10,200000,ok,53603.0,53603.0,injected samples,1.0,,146347,0,0.0,53603.0
Jun2018 clipped UCB,3,10,200000,failed,145442,145442,online reward-lowering modification count clipped at r_l,0.268,,53600,146400,48597237.50634118,48714808.17300894
Zuo2024 clipped TS,3,10,200000,failed,97233,97233,online reward-lowering modification count clipped at r_l,0.51069,,102138,97862,1.0326434976219465e+18,1.0326434976220259e+18
Xu2021 observation-free UCB,3,10,200000,infeasible,,711860.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,711860.0
Xu2021 observation-free TS,3,10,200000,infeasible,,711860.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,711860.0
Our offline UCB,3,15,200000,ok,42822.0,42822.0,injected samples,1.0,,157103,0,0.0,42822.0
Our offline TS,3,15,200000,ok,61249.0,61249.0,injected samples,1.0,,138676,0,0.0,61249.0
Jun2018 clipped UCB,3,15,200000,failed,166740,166740,online reward-lowering modification count clipped at r_l,0.16008,,32016,167984,52940170.45832902,53074263.79166241
Zuo2024 clipped TS,3,15,200000,failed,131547,131547,online reward-lowering modification count clipped at r_l,0.33738,,67476,132524,1.2173917085012692e+18,1.2173917085013788e+18
Xu2021 observation-free UCB,3,15,200000,infeasible,,1067788.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1067788.0
Xu2021 observation-free TS,3,15,200000,infeasible,,1067788.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1067788.0
Our offline UCB,3,20,200000,ok,47421.0,47421.0,injected samples,1.0,,152479,0,0.0,47421.0
Our offline TS,3,20,200000,ok,67124.0,67124.0,injected samples,1.0,,132776,0,0.0,67124.0
Jun2018 clipped UCB,3,20,200000,failed,176895,176895,online reward-lowering modification count clipped at r_l,0.10935,,21870,178130,52802180.075030275,52945252.63058738
Zuo2024 clipped TS,3,20,200000,failed,151914,151914,online reward-lowering modification count clipped at r_l,0.23505,,47010,152990,1.1955076795271273e+18,1.1955076795272517e+18
Xu2021 observation-free UCB,3,20,200000,infeasible,,1423718.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1423718.0
Xu2021 observation-free TS,3,20,200000,infeasible,,1423718.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1423718.0
Our offline UCB,3,30,200000,ok,54450.0,54450.0,injected samples,1.0,,145400,0,0.0,54450.0
Our offline TS,3,30,200000,ok,76097.0,76097.0,injected samples,1.0,,123753,0,0.0,76097.0
Jun2018 clipped UCB,3,30,200000,failed,186112,186112,online reward-lowering modification count clipped at r_l,0.062665,,12533,187467,50255518.815441996,50403575.259887524
Zuo2024 clipped TS,3,30,200000,failed,175575,175575,online reward-lowering modification count clipped at r_l,0.11559,,23118,176882,1.0470699479280115e+18,1.0470699479281526e+18
Xu2021 observation-free UCB,3,30,200000,infeasible,,2135576.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2135576.0
Xu2021 observation-free TS,3,30,200000,infeasible,,2135576.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2135576.0
Our offline UCB,3,40,200000,ok,59859.0,59859.0,injected samples,1.0,,139941,0,0.0,59859.0
Our offline TS,3,40,200000,ok,82978.0,82978.0,injected samples,1.0,,116822,0,0.0,82978.0
Jun2018 clipped UCB,3,40,200000,failed,190018,190018,online reward-lowering modification count clipped at r_l,0.043205,,8641,191359,46983418.13228352,47131262.798947416
Zuo2024 clipped TS,3,40,200000,failed,184700,184700,online reward-lowering modification count clipped at r_l,0.069835,,13967,186033,8.61266131814541e+17,8.612661318146808e+17
Xu2021 observation-free UCB,3,40,200000,infeasible,,2847434.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2847434.0
Xu2021 observation-free TS,3,40,200000,infeasible,,2847434.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2847434.0
Our offline UCB,3,50,200000,ok,64422.0,64422.0,injected samples,1.0,,135328,0,0.0,64422.0
Our offline TS,3,50,200000,ok,88681.0,88681.0,injected samples,1.0,,111069,0,0.0,88681.0
Jun2018 clipped UCB,3,50,200000,failed,192063,192063,online reward-lowering modification count clipped at r_l,0.032875,,6575,193425,43259182.28187662,43408461.39298802
Zuo2024 clipped TS,3,50,200000,failed,188462,188462,online reward-lowering modification count clipped at r_l,0.050495,,10099,189901,7.143297593361821e+17,7.143297593363286e+17
Xu2021 observation-free UCB,3,50,200000,infeasible,,3559292.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,3559292.0
Xu2021 observation-free TS,3,50,200000,infeasible,,3559292.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,3559292.0
Our offline UCB,4,5,200000,ok,27873.0,27873.0,injected samples,1.0,,172102,0,0.0,27873.0
Our offline TS,4,5,200000,ok,41987.0,41987.0,injected samples,1.0,,157988,0,0.0,41987.0
Jun2018 clipped UCB,4,5,200000,failed,92590,92590,online reward-lowering modification count clipped at r_l,0.53433,,106866,93134,31486594.304423243,31563259.304423265
Zuo2024 clipped TS,4,5,200000,failed,48800,48800,online reward-lowering modification count clipped at r_l,0.754715,,150943,49057,5.838461173572878e+17,5.83846117357328e+17
Xu2021 observation-free UCB,4,5,200000,infeasible,,355930.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,355930.0
Xu2021 observation-free TS,4,5,200000,infeasible,,355930.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,355930.0
Our offline UCB,4,10,200000,ok,36857.0,36857.0,injected samples,1.0,,163093,0,0.0,36857.0
Our offline TS,4,10,200000,ok,53596.0,53596.0,injected samples,1.0,,146354,0,0.0,53596.0
Jun2018 clipped UCB,4,10,200000,failed,145925,145925,online reward-lowering modification count clipped at r_l,0.265675,,53135,146865,49739004.98715283,49856802.20937404
Zuo2024 clipped TS,4,10,200000,failed,97863,97863,online reward-lowering modification count clipped at r_l,0.507425,,101485,98515,1.0464726347596943e+18,1.0464726347597761e+18
Xu2021 observation-free UCB,4,10,200000,infeasible,,711860.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,711860.0
Xu2021 observation-free TS,4,10,200000,infeasible,,711860.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,711860.0
Our offline UCB,4,15,200000,ok,42830.0,42830.0,injected samples,1.0,,157095,0,0.0,42830.0
Our offline TS,4,15,200000,ok,61255.0,61255.0,injected samples,1.0,,138670,0,0.0,61255.0
Jun2018 clipped UCB,4,15,200000,failed,167445,167445,online reward-lowering modification count clipped at r_l,0.15665,,31330,168670,54372982.62530444,54507664.4030825
Zuo2024 clipped TS,4,15,200000,failed,132049,132049,online reward-lowering modification count clipped at r_l,0.3349,,66980,133020,1.2265188186141476e+18,1.2265188186142528e+18
Xu2021 observation-free UCB,4,15,200000,infeasible,,1067788.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1067788.0
Xu2021 observation-free TS,4,15,200000,infeasible,,1067788.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1067788.0
Our offline UCB,4,20,200000,ok,47415.0,47415.0,injected samples,1.0,,152485,0,0.0,47415.0
Our offline TS,4,20,200000,ok,67121.0,67121.0,injected samples,1.0,,132779,0,0.0,67121.0
Jun2018 clipped UCB,4,20,200000,failed,176580,176580,online reward-lowering modification count clipped at r_l,0.11034,,22068,177932,52214373.23232471,52357071.45454675
Zuo2024 clipped TS,4,20,200000,failed,154140,154140,online reward-lowering modification count clipped at r_l,0.22362,,44724,155276,1.2315100946242783e+18,1.2315100946244022e+18
Xu2021 observation-free UCB,4,20,200000,infeasible,,1423718.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1423718.0
Xu2021 observation-free TS,4,20,200000,infeasible,,1423718.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1423718.0
Our offline UCB,4,30,200000,ok,54470.0,54470.0,injected samples,1.0,,145380,0,0.0,54470.0
Our offline TS,4,30,200000,ok,76110.0,76110.0,injected samples,1.0,,123740,0,0.0,76110.0
Jun2018 clipped UCB,4,30,200000,failed,185936,185936,online reward-lowering modification count clipped at r_l,0.06336,,12672,187328,49776862.74847633,49924890.63736651
Zuo2024 clipped TS,4,30,200000,failed,175916,175916,online reward-lowering modification count clipped at r_l,0.11428,,22856,177144,1.0501787526078191e+18,1.050178752607959e+18
Xu2021 observation-free UCB,4,30,200000,infeasible,,2135576.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2135576.0
Xu2021 observation-free TS,4,30,200000,infeasible,,2135576.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2135576.0
Our offline UCB,4,40,200000,ok,59914.0,59914.0,injected samples,1.0,,139886,0,0.0,59914.0
Our offline TS,4,40,200000,ok,83017.0,83017.0,injected samples,1.0,,116783,0,0.0,83017.0
Jun2018 clipped UCB,4,40,200000,failed,190115,190115,online reward-lowering modification count clipped at r_l,0.042535,,8507,191493,47532026.09791174,47679960.54235392
Zuo2024 clipped TS,4,40,200000,failed,184513,184513,online reward-lowering modification count clipped at r_l,0.070625,,14125,185875,8.597953826274953e+17,8.597953826276356e+17
Xu2021 observation-free UCB,4,40,200000,infeasible,,2847434.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2847434.0
Xu2021 observation-free TS,4,40,200000,infeasible,,2847434.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2847434.0
Our offline UCB,4,50,200000,ok,64382.0,64382.0,injected samples,1.0,,135368,0,0.0,64382.0
Our offline TS,4,50,200000,ok,88654.0,88654.0,injected samples,1.0,,111096,0,0.0,88654.0
Jun2018 clipped UCB,4,50,200000,failed,192021,192021,online reward-lowering modification count clipped at r_l,0.032935,,6587,193413,43254074.944732286,43403215.05584169
