algorithm,repeat,multiplier,Delta_K,S_T_over_T,status,cost
TS direct,2,1.0,0.08482333004202518,0.08482333004202518,ok,40045
Xu2021 observation-free UCB,2,1.0,0.08482333004202518,0.08482333004202518,ok,33930.0
Xu2021 observation-free TS,2,1.0,0.08482333004202518,0.08482333004202518,ok,33930.0
UCB appendix,2,1.5,0.12723499506303776,0.08482333004202518,ok,13277
UCB direct,2,1.5,0.12723499506303776,0.08482333004202518,ok,13192
TS appendix,2,1.5,0.12723499506303776,0.08482333004202518,ok,34216
TS direct,2,1.5,0.12723499506303776,0.08482333004202518,ok,32275
Xu2021 observation-free UCB,2,1.5,0.12723499506303776,0.08482333004202518,ok,15080.0
Xu2021 observation-free TS,2,1.5,0.12723499506303776,0.08482333004202518,ok,15080.0
UCB appendix,2,2.0,0.16964666008405035,0.08482333004202518,ok,7869
UCB direct,2,2.0,0.16964666008405035,0.08482333004202518,ok,7842
TS appendix,2,2.0,0.16964666008405035,0.08482333004202518,ok,23956
TS direct,2,2.0,0.16964666008405035,0.08482333004202518,ok,23710
Xu2021 observation-free UCB,2,2.0,0.16964666008405035,0.08482333004202518,ok,8484.0
Xu2021 observation-free TS,2,2.0,0.16964666008405035,0.08482333004202518,ok,8484.0
UCB appendix,2,3.0,0.2544699901260755,0.08482333004202518,ok,3719
UCB direct,2,3.0,0.2544699901260755,0.08482333004202518,ok,3708
TS appendix,2,3.0,0.2544699901260755,0.08482333004202518,ok,11342
TS direct,2,3.0,0.2544699901260755,0.08482333004202518,ok,11331
Xu2021 observation-free UCB,2,3.0,0.2544699901260755,0.08482333004202518,ok,3770.0
Xu2021 observation-free TS,2,3.0,0.2544699901260755,0.08482333004202518,ok,3770.0
UCB appendix,2,4.0,0.3392933201681007,0.08482333004202518,ok,2173
UCB direct,2,4.0,0.3392933201681007,0.08482333004202518,ok,2164
TS appendix,2,4.0,0.3392933201681007,0.08482333004202518,ok,6759
TS direct,2,4.0,0.3392933201681007,0.08482333004202518,ok,6749
Xu2021 observation-free UCB,2,4.0,0.3392933201681007,0.08482333004202518,ok,2122.0
Xu2021 observation-free TS,2,4.0,0.3392933201681007,0.08482333004202518,ok,2122.0
UCB appendix,2,5.0,0.4241166502101259,0.08482333004202518,ok,1426
UCB direct,2,5.0,0.4241166502101259,0.08482333004202518,ok,1418
TS appendix,2,5.0,0.4241166502101259,0.08482333004202518,ok,4587
TS direct,2,5.0,0.4241166502101259,0.08482333004202518,ok,4577
Xu2021 observation-free UCB,2,5.0,0.4241166502101259,0.08482333004202518,ok,1358.0
Xu2021 observation-free TS,2,5.0,0.4241166502101259,0.08482333004202518,ok,1358.0
UCB appendix,2,6.0,0.508939980252151,0.08482333004202518,ok,1011
UCB direct,2,6.0,0.508939980252151,0.08482333004202518,ok,1002
TS appendix,2,6.0,0.508939980252151,0.08482333004202518,ok,3390
TS direct,2,6.0,0.508939980252151,0.08482333004202518,ok,3381
Xu2021 observation-free UCB,2,6.0,0.508939980252151,0.08482333004202518,ok,944.0
Xu2021 observation-free TS,2,6.0,0.508939980252151,0.08482333004202518,ok,944.0
UCB appendix,3,0.0,0.0,0.08482333004202518,ok,41881
UCB direct,3,0.0,0.0,0.08482333004202518,ok,36858
TS appendix,3,0.0,0.0,0.08482333004202518,ok,64802
TS direct,3,0.0,0.0,0.08482333004202518,ok,53596
Xu2021 observation-free UCB,3,0.0,0.0,0.08482333004202518,infeasible,
Xu2021 observation-free TS,3,0.0,0.0,0.08482333004202518,infeasible,
UCB appendix,3,0.1,0.008482333004202518,0.08482333004202518,ok,39966
UCB direct,3,0.1,0.008482333004202518,0.08482333004202518,ok,35463
TS appendix,3,0.1,0.008482333004202518,0.08482333004202518,ok,62770
TS direct,3,0.1,0.008482333004202518,0.08482333004202518,ok,52344
Xu2021 observation-free UCB,3,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
Xu2021 observation-free TS,3,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
UCB appendix,3,0.2,0.016964666008405037,0.08482333004202518,ok,38052
UCB direct,3,0.2,0.016964666008405037,0.08482333004202518,ok,34044
TS appendix,3,0.2,0.016964666008405037,0.08482333004202518,ok,60737
TS direct,3,0.2,0.016964666008405037,0.08482333004202518,ok,51070
Xu2021 observation-free UCB,3,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
Xu2021 observation-free TS,3,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
UCB appendix,3,0.3,0.025446999012607552,0.08482333004202518,ok,36135
UCB direct,3,0.3,0.025446999012607552,0.08482333004202518,ok,32600
TS appendix,3,0.3,0.025446999012607552,0.08482333004202518,ok,58702
TS direct,3,0.3,0.025446999012607552,0.08482333004202518,ok,49774
Xu2021 observation-free UCB,3,0.3,0.025446999012607552,0.08482333004202518,infeasible,376994.0
Xu2021 observation-free TS,3,0.3,0.025446999012607552,0.08482333004202518,infeasible,376994.0
UCB appendix,3,0.4,0.033929332016810074,0.08482333004202518,ok,34218
UCB direct,3,0.4,0.033929332016810074,0.08482333004202518,ok,31130
TS appendix,3,0.4,0.033929332016810074,0.08482333004202518,ok,56666
TS direct,3,0.4,0.033929332016810074,0.08482333004202518,ok,48456
Xu2021 observation-free UCB,3,0.4,0.033929332016810074,0.08482333004202518,infeasible,212060.0
Xu2021 observation-free TS,3,0.4,0.033929332016810074,0.08482333004202518,infeasible,212060.0
UCB appendix,3,0.5,0.04241166502101259,0.08482333004202518,ok,32301
UCB direct,3,0.5,0.04241166502101259,0.08482333004202518,ok,29635
TS appendix,3,0.5,0.04241166502101259,0.08482333004202518,ok,54629
TS direct,3,0.5,0.04241166502101259,0.08482333004202518,ok,47114
Xu2021 observation-free UCB,3,0.5,0.04241166502101259,0.08482333004202518,ok,135718.0
Xu2021 observation-free TS,3,0.5,0.04241166502101259,0.08482333004202518,ok,135718.0
UCB appendix,3,0.75,0.06361749753151888,0.08482333004202518,ok,27503
UCB direct,3,0.75,0.06361749753151888,0.08482333004202518,ok,25777
TS appendix,3,0.75,0.06361749753151888,0.08482333004202518,ok,49533
TS direct,3,0.75,0.06361749753151888,0.08482333004202518,ok,43652
Xu2021 observation-free UCB,3,0.75,0.06361749753151888,0.08482333004202518,ok,60320.0
Xu2021 observation-free TS,3,0.75,0.06361749753151888,0.08482333004202518,ok,60320.0
UCB appendix,3,1.0,0.08482333004202518,0.08482333004202518,ok,22704
UCB direct,3,1.0,0.08482333004202518,0.08482333004202518,ok,21742
TS appendix,3,1.0,0.08482333004202518,0.08482333004202518,ok,44431
TS direct,3,1.0,0.08482333004202518,0.08482333004202518,ok,40031
Xu2021 observation-free UCB,3,1.0,0.08482333004202518,0.08482333004202518,ok,33930.0
Xu2021 observation-free TS,3,1.0,0.08482333004202518,0.08482333004202518,ok,33930.0
UCB appendix,3,1.5,0.12723499506303776,0.08482333004202518,ok,13259
UCB direct,3,1.5,0.12723499506303776,0.08482333004202518,ok,13175
TS appendix,3,1.5,0.12723499506303776,0.08482333004202518,ok,34201
TS direct,3,1.5,0.12723499506303776,0.08482333004202518,ok,32259
Xu2021 observation-free UCB,3,1.5,0.12723499506303776,0.08482333004202518,ok,15080.0
