algorithm,repeat,multiplier,Delta_K,S_T_over_T,status,cost
Xu2021 observation-free TS,1,2.0,0.16964666008405035,0.08482333004202518,ok,8484.0
UCB appendix,1,3.0,0.2544699901260755,0.08482333004202518,ok,3717
UCB direct,1,3.0,0.2544699901260755,0.08482333004202518,ok,3703
TS appendix,1,3.0,0.2544699901260755,0.08482333004202518,ok,11337
TS direct,1,3.0,0.2544699901260755,0.08482333004202518,ok,11326
Xu2021 observation-free UCB,1,3.0,0.2544699901260755,0.08482333004202518,ok,3770.0
Xu2021 observation-free TS,1,3.0,0.2544699901260755,0.08482333004202518,ok,3770.0
UCB appendix,1,4.0,0.3392933201681007,0.08482333004202518,ok,2171
UCB direct,1,4.0,0.3392933201681007,0.08482333004202518,ok,2162
TS appendix,1,4.0,0.3392933201681007,0.08482333004202518,ok,6754
TS direct,1,4.0,0.3392933201681007,0.08482333004202518,ok,6746
Xu2021 observation-free UCB,1,4.0,0.3392933201681007,0.08482333004202518,ok,2122.0
Xu2021 observation-free TS,1,4.0,0.3392933201681007,0.08482333004202518,ok,2122.0
UCB appendix,1,5.0,0.4241166502101259,0.08482333004202518,ok,1426
UCB direct,1,5.0,0.4241166502101259,0.08482333004202518,ok,1417
TS appendix,1,5.0,0.4241166502101259,0.08482333004202518,ok,4582
TS direct,1,5.0,0.4241166502101259,0.08482333004202518,ok,4572
Xu2021 observation-free UCB,1,5.0,0.4241166502101259,0.08482333004202518,ok,1358.0
Xu2021 observation-free TS,1,5.0,0.4241166502101259,0.08482333004202518,ok,1358.0
UCB appendix,1,6.0,0.508939980252151,0.08482333004202518,ok,1011
UCB direct,1,6.0,0.508939980252151,0.08482333004202518,ok,1002
TS appendix,1,6.0,0.508939980252151,0.08482333004202518,ok,3389
TS direct,1,6.0,0.508939980252151,0.08482333004202518,ok,3378
Xu2021 observation-free UCB,1,6.0,0.508939980252151,0.08482333004202518,ok,944.0
Xu2021 observation-free TS,1,6.0,0.508939980252151,0.08482333004202518,ok,944.0
UCB appendix,2,0.0,0.0,0.08482333004202518,ok,41940
UCB direct,2,0.0,0.0,0.08482333004202518,ok,36906
TS appendix,2,0.0,0.0,0.08482333004202518,ok,64851
TS direct,2,0.0,0.0,0.08482333004202518,ok,53631
Xu2021 observation-free UCB,2,0.0,0.0,0.08482333004202518,infeasible,
Xu2021 observation-free TS,2,0.0,0.0,0.08482333004202518,infeasible,
UCB appendix,2,0.1,0.008482333004202518,0.08482333004202518,ok,40026
UCB direct,2,0.1,0.008482333004202518,0.08482333004202518,ok,35511
TS appendix,2,0.1,0.008482333004202518,0.08482333004202518,ok,62818
TS direct,2,0.1,0.008482333004202518,0.08482333004202518,ok,52379
Xu2021 observation-free UCB,2,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
Xu2021 observation-free TS,2,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
UCB appendix,2,0.2,0.016964666008405037,0.08482333004202518,ok,38110
UCB direct,2,0.2,0.016964666008405037,0.08482333004202518,ok,34092
TS appendix,2,0.2,0.016964666008405037,0.08482333004202518,ok,60786
TS direct,2,0.2,0.016964666008405037,0.08482333004202518,ok,51106
Xu2021 observation-free UCB,2,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
Xu2021 observation-free TS,2,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
UCB appendix,2,0.3,0.025446999012607552,0.08482333004202518,ok,36192
UCB direct,2,0.3,0.025446999012607552,0.08482333004202518,ok,32649
TS appendix,2,0.3,0.025446999012607552,0.08482333004202518,ok,58749
TS direct,2,0.3,0.025446999012607552,0.08482333004202518,ok,49810
Xu2021 observation-free UCB,2,0.3,0.025446999012607552,0.08482333004202518,infeasible,376994.0
Xu2021 observation-free TS,2,0.3,0.025446999012607552,0.08482333004202518,infeasible,376994.0
UCB appendix,2,0.4,0.033929332016810074,0.08482333004202518,ok,34278
UCB direct,2,0.4,0.033929332016810074,0.08482333004202518,ok,31180
TS appendix,2,0.4,0.033929332016810074,0.08482333004202518,ok,56714
TS direct,2,0.4,0.033929332016810074,0.08482333004202518,ok,48492
Xu2021 observation-free UCB,2,0.4,0.033929332016810074,0.08482333004202518,infeasible,212060.0
Xu2021 observation-free TS,2,0.4,0.033929332016810074,0.08482333004202518,infeasible,212060.0
UCB appendix,2,0.5,0.04241166502101259,0.08482333004202518,ok,32359
UCB direct,2,0.5,0.04241166502101259,0.08482333004202518,ok,29685
TS appendix,2,0.5,0.04241166502101259,0.08482333004202518,ok,54675
TS direct,2,0.5,0.04241166502101259,0.08482333004202518,ok,47150
Xu2021 observation-free UCB,2,0.5,0.04241166502101259,0.08482333004202518,ok,135718.0
Xu2021 observation-free TS,2,0.5,0.04241166502101259,0.08482333004202518,ok,135718.0
UCB appendix,2,0.75,0.06361749753151888,0.08482333004202518,ok,27562
UCB direct,2,0.75,0.06361749753151888,0.08482333004202518,ok,25829
TS appendix,2,0.75,0.06361749753151888,0.08482333004202518,ok,49579
TS direct,2,0.75,0.06361749753151888,0.08482333004202518,ok,43690
Xu2021 observation-free UCB,2,0.75,0.06361749753151888,0.08482333004202518,ok,60320.0
Xu2021 observation-free TS,2,0.75,0.06361749753151888,0.08482333004202518,ok,60320.0
UCB appendix,2,1.0,0.08482333004202518,0.08482333004202518,ok,22762
UCB direct,2,1.0,0.08482333004202518,0.08482333004202518,ok,21794
TS appendix,2,1.0,0.08482333004202518,0.08482333004202518,ok,44476
TS direct,2,1.0,0.08482333004202518,0.08482333004202518,ok,40069
Xu2021 observation-free UCB,2,1.0,0.08482333004202518,0.08482333004202518,ok,33930.0
Xu2021 observation-free TS,2,1.0,0.08482333004202518,0.08482333004202518,ok,33930.0
UCB appendix,2,1.5,0.12723499506303776,0.08482333004202518,ok,13313
UCB direct,2,1.5,0.12723499506303776,0.08482333004202518,ok,13226
TS appendix,2,1.5,0.12723499506303776,0.08482333004202518,ok,34250
TS direct,2,1.5,0.12723499506303776,0.08482333004202518,ok,32299
Xu2021 observation-free UCB,2,1.5,0.12723499506303776,0.08482333004202518,ok,15080.0
Xu2021 observation-free TS,2,1.5,0.12723499506303776,0.08482333004202518,ok,15080.0
UCB appendix,2,2.0,0.16964666008405035,0.08482333004202518,ok,7898
UCB direct,2,2.0,0.16964666008405035,0.08482333004202518,ok,7867
TS appendix,2,2.0,0.16964666008405035,0.08482333004202518,ok,23987
