algorithm,repeat,T,status,native_cost,target_ratio,post_phase_ratio,target_pulls,non_target_pulls,clipped_cost,requested_cost,sample_equivalent_cost
Zuo2024 clipped TS,2,1000000,failed,163918,0.793508,,793508,206492,4.5973374434319493e+18,4.597337443432113e+18,
Xu2021 observation-free UCB,2,1000000,simulated,994718.0,0.552376,1.0,552376,447624,0.0,994718.0,9947180.0
Xu2021 observation-free TS,2,1000000,simulated,994718.0,0.552335,1.0,552335,447665,0.0,994718.0,9947180.0
Jun2018 clipped UCB,3,100000,failed,64438,0.18815,,18815,81185,25044833.051309556,25109271.051309567,
Zuo2024 clipped TS,3,100000,failed,52817,0.33368,,33368,66632,4.7874877390231584e+17,4.7874877390236954e+17,
Xu2021 observation-free UCB,3,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Xu2021 observation-free TS,3,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Jun2018 clipped UCB,3,250000,failed,145649,0.26504,,66260,183740,69041898.44209956,69187547.44209935,
Zuo2024 clipped TS,3,250000,failed,92659,0.532052,,133013,116987,1.47567666383264e+18,1.4756766638327316e+18,
Xu2021 observation-free UCB,3,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Xu2021 observation-free TS,3,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Jun2018 clipped UCB,3,400000,failed,210756,0.3341325,,133653,266347,105348467.09714872,105559223.0971493,
Zuo2024 clipped TS,3,400000,failed,123149,0.6119725,,244789,155211,2.597498868363877e+18,2.597498868364003e+18,
Xu2021 observation-free UCB,3,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Xu2021 observation-free TS,3,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Jun2018 clipped UCB,3,550000,failed,264911,0.39242,,215831,334169,136273079.41168997,136537990.4116904,
Zuo2024 clipped TS,3,550000,failed,133581,0.6935709090909091,,381464,168536,3.062582557959455e+18,3.0625825579595863e+18,
Xu2021 observation-free UCB,3,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
Xu2021 observation-free TS,3,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
Jun2018 clipped UCB,3,700000,failed,309016,0.4434057142857143,,310384,389616,156265217.01508904,156574233.0150897,
Zuo2024 clipped TS,3,700000,failed,146981,0.7350514285714286,,514536,185464,3.7087082976657367e+18,3.708708297665888e+18,
Xu2021 observation-free UCB,3,700000,infeasible,969038.0,,,,,0.0,969038.0,9690380.0
Xu2021 observation-free TS,3,700000,infeasible,969038.0,,,,,0.0,969038.0,9690380.0
Jun2018 clipped UCB,3,850000,failed,344689,0.4883223529411765,,415074,434926,167991550.1969666,168336239.19696665,
Zuo2024 clipped TS,3,850000,failed,153661,0.77202,,656217,193783,4.0488564549691213e+18,4.0488564549692744e+18,
Xu2021 observation-free UCB,3,850000,infeasible,983016.0,,,,,0.0,983016.0,9830160.0
Xu2021 observation-free TS,3,850000,infeasible,983016.0,,,,,0.0,983016.0,9830160.0
Jun2018 clipped UCB,3,1000000,failed,374101,0.528124,,528124,471876,184707455.5629789,185081556.5629791,
Zuo2024 clipped TS,3,1000000,failed,160392,0.797788,,797788,202212,4.4087537953163884e+18,4.408753795316551e+18,
Xu2021 observation-free UCB,3,1000000,simulated,994718.0,0.552376,1.0,552376,447624,0.0,994718.0,9947180.0
Xu2021 observation-free TS,3,1000000,simulated,994718.0,0.552255,1.0,552255,447745,0.0,994718.0,9947180.0
Jun2018 clipped UCB,4,100000,failed,64236,0.18917,,18917,81083,24728189.22630051,24792425.226300597,
Zuo2024 clipped TS,4,100000,failed,54551,0.3118,,31180,68820,5.107242285853621e+17,5.1072422858541754e+17,
Xu2021 observation-free UCB,4,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Xu2021 observation-free TS,4,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Jun2018 clipped UCB,4,250000,failed,147842,0.254464,,63616,186384,75999446.3906472,76147288.39064725,
Zuo2024 clipped TS,4,250000,failed,93949,0.525864,,131466,118534,1.5149633600886892e+18,1.514963360088785e+18,
Xu2021 observation-free UCB,4,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Xu2021 observation-free TS,4,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Jun2018 clipped UCB,4,400000,failed,210401,0.33652,,134608,265392,105698776.60084751,105909177.6008473,
Zuo2024 clipped TS,4,400000,failed,118748,0.62597,,250388,149612,2.4134820297928146e+18,2.41348202979293e+18,
Xu2021 observation-free UCB,4,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Xu2021 observation-free TS,4,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Jun2018 clipped UCB,4,550000,failed,262758,0.39709636363636364,,218403,331597,130829689.93130618,131092447.93130629,
