algorithm,repeat,K,status,T,T0,H,Cost_n,target_cost,non_target_total_cost,non_target_avg_cost,S_T,normalized_cost,z_star,allocation_json,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,n_39,n_40,n_41,n_42,n_43,n_44,n_45,n_46,n_47,n_48,n_49,n_50
TS appendix,7,15,ok,200000,76437,123563,76362,48606,27756,1982.57142857,19419.6948,3.93219362027,0.179642638249,"{""n_1"": 1992, ""n_10"": 1981, ""n_11"": 1981, ""n_12"": 1959, ""n_13"": 1981, ""n_14"": 1992, ""n_15"": 48606, ""n_2"": 1981, ""n_3"": 1992, ""n_4"": 1992, ""n_5"": 1992, ""n_6"": 1981, ""n_7"": 1970, ""n_8"": 1970, ""n_9"": 1992}",1992,1981,1992,1992,1992,1981,1970,1970,1992,1981,1981,1959,1981,1992,48606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,7,15,ok,200000,61333,138667,61258,38488,22770,1626.42857143,19419.6948,3.1544265052,0.19845000006,"{""n_1"": 1635, ""n_10"": 1625, ""n_11"": 1625, ""n_12"": 1605, ""n_13"": 1625, ""n_14"": 1635, ""n_15"": 38488, ""n_2"": 1625, ""n_3"": 1635, ""n_4"": 1635, ""n_5"": 1635, ""n_6"": 1625, ""n_7"": 1615, ""n_8"": 1615, ""n_9"": 1635}",1635,1625,1635,1635,1635,1625,1615,1615,1635,1625,1625,1605,1625,1635,38488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,7,20,ok,200000,56106,143894,56006,34078,21928,1154.10526316,21374.1398084,2.62026918987,0.145580378389,"{""n_1"": 1157, ""n_10"": 1157, ""n_11"": 1157, ""n_12"": 1169, ""n_13"": 1144, ""n_14"": 1169, ""n_15"": 1157, ""n_16"": 1132, ""n_17"": 1132, ""n_18"": 1144, ""n_19"": 1157, ""n_2"": 1144, ""n_20"": 34078, ""n_3"": 1144, ""n_4"": 1169, ""n_5"": 1157, ""n_6"": 1144, ""n_7"": 1169, ""n_8"": 1169, ""n_9"": 1157}",1157,1144,1144,1169,1157,1144,1169,1169,1157,1157,1157,1169,1144,1169,1157,1132,1132,1144,1157,34078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,7,20,ok,200000,47460,152540,47360,28658,18702,984.315789474,21374.1398084,2.21576168325,0.170465871078,"{""n_1"": 987, ""n_10"": 987, ""n_11"": 987, ""n_12"": 998, ""n_13"": 975, ""n_14"": 998, ""n_15"": 987, ""n_16"": 964, ""n_17"": 964, ""n_18"": 975, ""n_19"": 987, ""n_2"": 975, ""n_20"": 28658, ""n_3"": 975, ""n_4"": 998, ""n_5"": 987, ""n_6"": 975, ""n_7"": 998, ""n_8"": 998, ""n_9"": 987}",987,975,975,998,987,975,998,998,987,987,987,998,975,998,987,964,964,975,987,28658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,7,20,ok,200000,85747,114253,85647,53957,31690,1667.89473684,21374.1398084,4.00703844775,0.196691073182,"{""n_1"": 1670, ""n_10"": 1670, ""n_11"": 1670, ""n_12"": 1680, ""n_13"": 1660, ""n_14"": 1680, ""n_15"": 1670, ""n_16"": 1650, ""n_17"": 1650, ""n_18"": 1660, ""n_19"": 1670, ""n_2"": 1660, ""n_20"": 53957, ""n_3"": 1660, ""n_4"": 1680, ""n_5"": 1670, ""n_6"": 1660, ""n_7"": 1680, ""n_8"": 1680, ""n_9"": 1670}",1670,1660,1660,1680,1670,1660,1680,1680,1670,1670,1670,1680,1660,1680,1670,1650,1650,1660,1670,53957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,7,20,ok,200000,67183,132817,67083,41811,25272,1330.10526316,21374.1398084,3.13851226769,0.220400000056,"{""n_1"": 1332, ""n_10"": 1332, ""n_11"": 1332, ""n_12"": 1341, ""n_13"": 1323, ""n_14"": 1341, ""n_15"": 1332, ""n_16"": 1314, ""n_17"": 1314, ""n_18"": 1323, ""n_19"": 1332, ""n_2"": 1323, ""n_20"": 41811, ""n_3"": 1323, ""n_4"": 1341, ""n_5"": 1332, ""n_6"": 1323, ""n_7"": 1341, ""n_8"": 1341, ""n_9"": 1332}",1332,1323,1323,1341,1332,1323,1341,1341,1332,1332,1332,1341,1323,1341,1332,1314,1314,1323,1332,41811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,7,30,ok,200000,66404,133596,66254,40005,26249,905.137931034,24467.282261,2.70786102409,0.16668299082,"{""n_1"": 915, ""n_10"": 904, ""n_11"": 915, ""n_12"": 915, ""n_13"": 904, ""n_14"": 904, ""n_15"": 893, ""n_16"": 904, ""n_17"": 904, ""n_18"": 904, ""n_19"": 893, ""n_2"": 904, ""n_20"": 915, ""n_21"": 893, ""n_22"": 882, ""n_23"": 915, ""n_24"": 893, ""n_25"": 904, ""n_26"": 915, ""n_27"": 904, ""n_28"": 915, ""n_29"": 893, ""n_3"": 915, ""n_30"": 40005, ""n_4"": 915, ""n_5"": 915, ""n_6"": 915, ""n_7"": 893, ""n_8"": 904, ""n_9"": 904}",915,904,915,915,915,915,893,904,904,904,915,915,904,904,893,904,904,904,893,915,893,882,915,893,904,915,904,915,893,40005,,,,,,,,,,,,,,,,,,,,
UCB direct,7,30,ok,200000,54626,145374,54476,32435,22041,760.034482759,24467.282261,2.22648349003,0.194835787913,"{""n_1"": 769, ""n_10"": 759, ""n_11"": 769, ""n_12"": 769, ""n_13"": 759, ""n_14"": 759, ""n_15"": 749, ""n_16"": 759, ""n_17"": 759, ""n_18"": 759, ""n_19"": 749, ""n_2"": 759, ""n_20"": 769, ""n_21"": 749, ""n_22"": 739, ""n_23"": 769, ""n_24"": 749, ""n_25"": 759, ""n_26"": 769, ""n_27"": 759, ""n_28"": 769, ""n_29"": 749, ""n_3"": 769, ""n_30"": 32435, ""n_4"": 769, ""n_5"": 769, ""n_6"": 769, ""n_7"": 749, ""n_8"": 759, ""n_9"": 759}",769,759,769,769,769,769,749,759,759,759,769,769,759,759,749,759,759,759,749,769,749,739,769,749,759,769,759,769,749,32435,,,,,,,,,,,,,,,,,,,,
TS appendix,7,30,ok,200000,101098,98902,100948,62553,38395,1323.96551724,24467.282261,4.12583624626,0.222635896846,"{""n_1"": 1332, ""n_10"": 1323, ""n_11"": 1332, ""n_12"": 1332, ""n_13"": 1323, ""n_14"": 1323, ""n_15"": 1314, ""n_16"": 1323, ""n_17"": 1323, ""n_18"": 1323, ""n_19"": 1314, ""n_2"": 1323, ""n_20"": 1332, ""n_21"": 1314, ""n_22"": 1306, ""n_23"": 1332, ""n_24"": 1314, ""n_25"": 1323, ""n_26"": 1332, ""n_27"": 1323, ""n_28"": 1332, ""n_29"": 1314, ""n_3"": 1332, ""n_30"": 62553, ""n_4"": 1332, ""n_5"": 1332, ""n_6"": 1332, ""n_7"": 1314, ""n_8"": 1323, ""n_9"": 1323}",1332,1323,1332,1332,1332,1332,1314,1323,1323,1323,1332,1332,1323,1323,1314,1323,1323,1323,1314,1332,1314,1306,1332,1314,1323,1332,1323,1332,1314,62553,,,,,,,,,,,,,,,,,,,,
TS direct,7,30,ok,200000,76269,123731,76119,46555,29564,1019.44827586,24467.282261,3.11105251445,0.254000000049,"{""n_1"": 1026, ""n_10"": 1019, ""n_11"": 1026, ""n_12"": 1026, ""n_13"": 1019, ""n_14"": 1019, ""n_15"": 1011, ""n_16"": 1019, ""n_17"": 1019, ""n_18"": 1019, ""n_19"": 1011, ""n_2"": 1019, ""n_20"": 1026, ""n_21"": 1011, ""n_22"": 1003, ""n_23"": 1026, ""n_24"": 1011, ""n_25"": 1019, ""n_26"": 1026, ""n_27"": 1019, ""n_28"": 1026, ""n_29"": 1011, ""n_3"": 1026, ""n_30"": 46555, ""n_4"": 1026, ""n_5"": 1026, ""n_6"": 1026, ""n_7"": 1011, ""n_8"": 1019, ""n_9"": 1019}",1026,1019,1026,1026,1026,1026,1011,1019,1019,1019,1026,1026,1019,1019,1011,1019,1019,1019,1011,1026,1011,1003,1026,1011,1019,1026,1019,1026,1011,46555,,,,,,,,,,,,,,,,,,,,
UCB appendix,7,40,ok,200000,74775,125225,74575,44749,29826,764.769230769,26929.728668,2.76924438858,0.182833449892,"{""n_1"": 773, ""n_10"": 753, ""n_11"": 773, ""n_12"": 753, ""n_13"": 773, ""n_14"": 763, ""n_15"": 773, ""n_16"": 773, ""n_17"": 763, ""n_18"": 773, ""n_19"": 763, ""n_2"": 773, ""n_20"": 773, ""n_21"": 763, ""n_22"": 763, ""n_23"": 763, ""n_24"": 763, ""n_25"": 753, ""n_26"": 763, ""n_27"": 773, ""n_28"": 753, ""n_29"": 763, ""n_3"": 763, ""n_30"": 773, ""n_31"": 763, ""n_32"": 763, ""n_33"": 773, ""n_34"": 732, ""n_35"": 753, ""n_36"": 763, ""n_37"": 763, ""n_38"": 753, ""n_39"": 763, ""n_4"": 773, ""n_40"": 44749, ""n_5"": 773, ""n_6"": 773, ""n_7"": 773, ""n_8"": 763, ""n_9"": 773}",773,773,763,773,773,773,773,763,773,753,773,753,773,763,773,773,763,773,763,773,763,763,763,763,753,763,773,753,763,773,763,763,773,732,753,763,763,753,763,44749,,,,,,,,,,
UCB direct,7,40,ok,200000,60172,139828,59972,35573,24399,625.615384615,26929.728668,2.22698121987,0.215315739971,"{""n_1"": 633, ""n_10"": 615, ""n_11"": 633, ""n_12"": 615, ""n_13"": 633, ""n_14"": 624, ""n_15"": 633, ""n_16"": 633, ""n_17"": 624, ""n_18"": 633, ""n_19"": 624, ""n_2"": 633, ""n_20"": 633, ""n_21"": 624, ""n_22"": 624, ""n_23"": 624, ""n_24"": 624, ""n_25"": 615, ""n_26"": 624, ""n_27"": 633, ""n_28"": 615, ""n_29"": 624, ""n_3"": 624, ""n_30"": 633, ""n_31"": 624, ""n_32"": 624, ""n_33"": 633, ""n_34"": 597, ""n_35"": 615, ""n_36"": 624, ""n_37"": 624, ""n_38"": 615, ""n_39"": 624, ""n_4"": 633, ""n_40"": 35573, ""n_5"": 633, ""n_6"": 633, ""n_7"": 633, ""n_8"": 624, ""n_9"": 633}",633,633,624,633,633,633,633,624,633,615,633,615,633,624,633,633,624,633,624,633,624,624,624,624,615,624,633,615,624,633,624,624,633,597,615,624,624,615,624,35573,,,,,,,,,,
TS appendix,7,40,ok,200000,113764,86236,113564,69484,44080,1130.25641026,26929.728668,4.21704954402,0.242360996653,"{""n_1"": 1137, ""n_10"": 1120, ""n_11"": 1137, ""n_12"": 1120, ""n_13"": 1137, ""n_14"": 1129, ""n_15"": 1137, ""n_16"": 1137, ""n_17"": 1129, ""n_18"": 1137, ""n_19"": 1129, ""n_2"": 1137, ""n_20"": 1137, ""n_21"": 1129, ""n_22"": 1129, ""n_23"": 1129, ""n_24"": 1129, ""n_25"": 1120, ""n_26"": 1129, ""n_27"": 1137, ""n_28"": 1120, ""n_29"": 1129, ""n_3"": 1129, ""n_30"": 1137, ""n_31"": 1129, ""n_32"": 1129, ""n_33"": 1137, ""n_34"": 1104, ""n_35"": 1120, ""n_36"": 1129, ""n_37"": 1129, ""n_38"": 1120, ""n_39"": 1129, ""n_4"": 1137, ""n_40"": 69484, ""n_5"": 1137, ""n_6"": 1137, ""n_7"": 1137, ""n_8"": 1129, ""n_9"": 1137}",1137,1137,1129,1137,1137,1137,1137,1129,1137,1120,1137,1120,1137,1129,1137,1137,1129,1137,1129,1137,1129,1129,1129,1129,1120,1129,1137,1120,1129,1137,1129,1129,1137,1104,1120,1129,1129,1120,1129,69484,,,,,,,,,,
TS direct,7,40,ok,200000,83248,116752,83048,49693,33355,855.256410256,26929.728668,3.08387808224,0.278850000044,"{""n_1"": 861, ""n_10"": 847, ""n_11"": 861, ""n_12"": 847, ""n_13"": 861, ""n_14"": 854, ""n_15"": 861, ""n_16"": 861, ""n_17"": 854, ""n_18"": 861, ""n_19"": 854, ""n_2"": 861, ""n_20"": 861, ""n_21"": 854, ""n_22"": 854, ""n_23"": 854, ""n_24"": 854, ""n_25"": 847, ""n_26"": 854, ""n_27"": 861, ""n_28"": 847, ""n_29"": 854, ""n_3"": 854, ""n_30"": 861, ""n_31"": 854, ""n_32"": 854, ""n_33"": 861, ""n_34"": 833, ""n_35"": 847, ""n_36"": 854, ""n_37"": 854, ""n_38"": 847, ""n_39"": 854, ""n_4"": 861, ""n_40"": 49693, ""n_5"": 861, ""n_6"": 861, ""n_7"": 861, ""n_8"": 854, ""n_9"": 861}",861,861,854,861,861,861,861,854,861,847,861,847,861,854,861,861,854,861,854,861,854,854,854,854,847,854,861,847,854,861,854,854,861,833,847,854,854,847,854,49693,,,,,,,,,,
UCB appendix,7,50,ok,200000,81763,118237,81513,48720,32793,669.244897959,29009.1708178,2.80990451303,0.195880752229,"{""n_1"": 672, ""n_10"": 681, ""n_11"": 681, ""n_12"": 653, ""n_13"": 681, ""n_14"": 681, ""n_15"": 681, ""n_16"": 662, ""n_17"": 662, ""n_18"": 681, ""n_19"": 653, ""n_2"": 672, ""n_20"": 672, ""n_21"": 672, ""n_22"": 672, ""n_23"": 672, ""n_24"": 662, ""n_25"": 662, ""n_26"": 662, ""n_27"": 672, ""n_28"": 672, ""n_29"": 672, ""n_3"": 672, ""n_30"": 672, ""n_31"": 681, ""n_32"": 672, ""n_33"": 672, ""n_34"": 681, ""n_35"": 653, ""n_36"": 662, ""n_37"": 672, ""n_38"": 662, ""n_39"": 672, ""n_4"": 681, ""n_40"": 672, ""n_41"": 681, ""n_42"": 672, ""n_43"": 662, ""n_44"": 653, ""n_45"": 653, ""n_46"": 653, ""n_47"": 643, ""n_48"": 662, ""n_49"": 653, ""n_5"": 681, ""n_50"": 48720, ""n_6"": 681, ""n_7"": 672, ""n_8"": 681, ""n_9"": 672}",672,672,672,681,681,681,672,681,672,681,681,653,681,681,681,662,662,681,653,672,672,672,672,662,662,662,672,672,672,672,681,672,672,681,653,662,672,662,672,672,681,672,662,653,653,653,643,662,653,48720
UCB direct,7,50,ok,200000,64629,135371,64379,38129,26250,535.714285714,29009.1708178,2.21926370817,0.23233685401,"{""n_1"": 538, ""n_10"": 546, ""n_11"": 546, ""n_12"": 521, ""n_13"": 546, ""n_14"": 546, ""n_15"": 546, ""n_16"": 530, ""n_17"": 530, ""n_18"": 546, ""n_19"": 521, ""n_2"": 538, ""n_20"": 538, ""n_21"": 538, ""n_22"": 538, ""n_23"": 538, ""n_24"": 530, ""n_25"": 530, ""n_26"": 530, ""n_27"": 538, ""n_28"": 538, ""n_29"": 538, ""n_3"": 538, ""n_30"": 538, ""n_31"": 546, ""n_32"": 538, ""n_33"": 538, ""n_34"": 546, ""n_35"": 521, ""n_36"": 530, ""n_37"": 538, ""n_38"": 530, ""n_39"": 538, ""n_4"": 546, ""n_40"": 538, ""n_41"": 546, ""n_42"": 538, ""n_43"": 530, ""n_44"": 521, ""n_45"": 521, ""n_46"": 521, ""n_47"": 513, ""n_48"": 530, ""n_49"": 521, ""n_5"": 546, ""n_50"": 38129, ""n_6"": 546, ""n_7"": 538, ""n_8"": 546, ""n_9"": 538}",538,538,538,546,546,546,538,546,538,546,546,521,546,546,546,530,530,546,521,538,538,538,538,530,530,530,538,538,538,538,546,538,538,546,521,530,538,530,538,538,546,538,530,521,521,521,513,530,521,38129
TS appendix,7,50,ok,200000,124595,75405,124345,75363,48982,999.632653061,29009.1708178,4.28640310959,0.258318711961,"{""n_1"": 1002, ""n_10"": 1009, ""n_11"": 1009, ""n_12"": 986, ""n_13"": 1009, ""n_14"": 1009, ""n_15"": 1009, ""n_16"": 994, ""n_17"": 994, ""n_18"": 1009, ""n_19"": 986, ""n_2"": 1002, ""n_20"": 1002, ""n_21"": 1002, ""n_22"": 1002, ""n_23"": 1002, ""n_24"": 994, ""n_25"": 994, ""n_26"": 994, ""n_27"": 1002, ""n_28"": 1002, ""n_29"": 1002, ""n_3"": 1002, ""n_30"": 1002, ""n_31"": 1009, ""n_32"": 1002, ""n_33"": 1002, ""n_34"": 1009, ""n_35"": 986, ""n_36"": 994, ""n_37"": 1002, ""n_38"": 994, ""n_39"": 1002, ""n_4"": 1009, ""n_40"": 1002, ""n_41"": 1009, ""n_42"": 1002, ""n_43"": 994, ""n_44"": 986, ""n_45"": 986, ""n_46"": 986, ""n_47"": 979, ""n_48"": 994, ""n_49"": 986, ""n_5"": 1009, ""n_50"": 75363, ""n_6"": 1009, ""n_7"": 1002, ""n_8"": 1009, ""n_9"": 1002}",1002,1002,1002,1009,1009,1009,1002,1009,1002,1009,1009,986,1009,1009,1009,994,994,1009,986,1002,1002,1002,1002,994,994,994,1002,1002,1002,1002,1009,1002,1002,1009,986,994,1002,994,1002,1002,1009,1002,994,986,986,986,979,994,986,75363
TS direct,7,50,ok,200000,88900,111100,88650,52463,36187,738.510204082,29009.1708178,3.05593015936,0.30080000004,"{""n_1"": 740, ""n_10"": 747, ""n_11"": 747, ""n_12"": 727, ""n_13"": 747, ""n_14"": 747, ""n_15"": 747, ""n_16"": 734, ""n_17"": 734, ""n_18"": 747, ""n_19"": 727, ""n_2"": 740, ""n_20"": 740, ""n_21"": 740, ""n_22"": 740, ""n_23"": 740, ""n_24"": 734, ""n_25"": 734, ""n_26"": 734, ""n_27"": 740, ""n_28"": 740, ""n_29"": 740, ""n_3"": 740, ""n_30"": 740, ""n_31"": 747, ""n_32"": 740, ""n_33"": 740, ""n_34"": 747, ""n_35"": 727, ""n_36"": 734, ""n_37"": 740, ""n_38"": 734, ""n_39"": 740, ""n_4"": 747, ""n_40"": 740, ""n_41"": 747, ""n_42"": 740, ""n_43"": 734, ""n_44"": 727, ""n_45"": 727, ""n_46"": 727, ""n_47"": 721, ""n_48"": 734, ""n_49"": 727, ""n_5"": 747, ""n_50"": 52463, ""n_6"": 747, ""n_7"": 740, ""n_8"": 747, ""n_9"": 740}",740,740,740,747,747,747,740,747,740,747,747,727,747,747,747,734,734,747,727,740,740,740,740,734,734,734,740,740,740,740,747,740,740,747,727,734,740,734,740,740,747,740,734,727,727,727,721,734,727,52463
UCB appendix,8,5,ok,200000,30680,169320,30655,18807,11848,2962,13464.864334,2.27666608735,0.085950778179,"{""n_1"": 2977, ""n_2"": 2957, ""n_3"": 2957, ""n_4"": 2957, ""n_5"": 18807}",2977,2957,2957,2957,18807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,8,5,ok,200000,27906,172094,27881,17074,10807,2701.75,13464.864334,2.07064841564,0.102303379727,"{""n_1"": 2716, ""n_2"": 2697, ""n_3"": 2697, ""n_4"": 2697, ""n_5"": 17074}",2716,2697,2697,2697,17074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,8,5,ok,200000,48580,151420,48555,32119,16436,4109,13464.864334,3.6060519286,0.122238094955,"{""n_1"": 4121, ""n_2"": 4105, ""n_3"": 4105, ""n_4"": 4105, ""n_5"": 32119}",4121,4105,4105,4105,32119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,8,5,ok,200000,42017,157983,41992,27649,14343,3585.75,13464.864334,3.11863520926,0.130900000074,"{""n_1"": 3597, ""n_2"": 3582, ""n_3"": 3582, ""n_4"": 3582, ""n_5"": 27649}",3597,3582,3582,3582,27649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,8,10,ok,200000,42021,157979,41971,25698,16273,1808.11111111,16964.6660084,2.47402453896,0.113859644773,"{""n_1"": 1817, ""n_10"": 25698, ""n_2"": 1801, ""n_3"": 1817, ""n_4"": 1801, ""n_5"": 1817, ""n_6"": 1801, ""n_7"": 1817, ""n_8"": 1801, ""n_9"": 1801}",1817,1801,1817,1801,1817,1801,1817,1801,1801,25698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,8,10,ok,200000,36982,163018,36932,22337,14595,1621.66666667,16964.6660084,2.17699540809,0.132674085126,"{""n_1"": 1630, ""n_10"": 22337, ""n_2"": 1615, ""n_3"": 1630, ""n_4"": 1615, ""n_5"": 1630, ""n_6"": 1615, ""n_7"": 1630, ""n_8"": 1615, ""n_9"": 1615}",1630,1615,1630,1615,1630,1615,1630,1615,1615,22337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,8,10,ok,200000,64924,135076,64874,41885,22989,2554.33333333,16964.6660084,3.82406585357,0.157175095724,"{""n_1"": 2561, ""n_10"": 41885, ""n_2"": 2549, ""n_3"": 2561, ""n_4"": 2549, ""n_5"": 2561, ""n_6"": 2549, ""n_7"": 2561, ""n_8"": 2549, ""n_9"": 2549}",2561,2549,2561,2549,2561,2549,2561,2549,2549,41885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,8,10,ok,200000,53700,146300,53650,34351,19299,2144.33333333,16964.6660084,3.16245542196,0.171650000066,"{""n_1"": 2151, ""n_10"": 34351, ""n_2"": 2139, ""n_3"": 2151, ""n_4"": 2139, ""n_5"": 2151, ""n_6"": 2139, ""n_7"": 2151, ""n_8"": 2139, ""n_9"": 2139}",2151,2139,2151,2139,2151,2139,2151,2139,2139,34351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,8,15,ok,200000,49829,150171,49754,30372,19382,1384.42857143,19419.6948,2.56203820464,0.131838402707,"{""n_1"": 1398, ""n_10"": 1398, ""n_11"": 1384, ""n_12"": 1371, ""n_13"": 1357, ""n_14"": 1371, ""n_15"": 30372, ""n_2"": 1398, ""n_3"": 1398, ""n_4"": 1398, ""n_5"": 1398, ""n_6"": 1371, ""n_7"": 1371, ""n_8"": 1371, ""n_9"": 1398}",1398,1398,1398,1398,1398,1371,1371,1371,1398,1398,1384,1371,1357,1371,30372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,8,15,ok,200000,42890,157110,42815,26022,16793,1199.5,19419.6948,2.20472053969,0.154333238664,"{""n_1"": 1212, ""n_10"": 1212, ""n_11"": 1200, ""n_12"": 1187, ""n_13"": 1174, ""n_14"": 1187, ""n_15"": 26022, ""n_2"": 1212, ""n_3"": 1212, ""n_4"": 1212, ""n_5"": 1212, ""n_6"": 1187, ""n_7"": 1187, ""n_8"": 1187, ""n_9"": 1212}",1212,1212,1212,1212,1212,1187,1187,1187,1212,1212,1200,1187,1174,1187,26022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,8,15,ok,200000,76409,123591,76334,48600,27734,1981,19419.6948,3.93075178504,0.179621424292,"{""n_1"": 1992, ""n_10"": 1992, ""n_11"": 1981, ""n_12"": 1970, ""n_13"": 1959, ""n_14"": 1970, ""n_15"": 48600, ""n_2"": 1992, ""n_3"": 1992, ""n_4"": 1992, ""n_5"": 1992, ""n_6"": 1970, ""n_7"": 1970, ""n_8"": 1970, ""n_9"": 1992}",1992,1992,1992,1992,1992,1970,1970,1970,1992,1992,1981,1970,1959,1970,48600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,8,15,ok,200000,61317,138683,61242,38492,22750,1625,19419.6948,3.15360259936,0.19845000006,"{""n_1"": 1635, ""n_10"": 1635, ""n_11"": 1625, ""n_12"": 1615, ""n_13"": 1605, ""n_14"": 1615, ""n_15"": 38492, ""n_2"": 1635, ""n_3"": 1635, ""n_4"": 1635, ""n_5"": 1635, ""n_6"": 1615, ""n_7"": 1615, ""n_8"": 1615, ""n_9"": 1635}",1635,1635,1635,1635,1635,1615,1615,1615,1635,1635,1625,1615,1605,1615,38492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,8,20,ok,200000,56122,143878,56022,34081,21941,1154.78947368,21374.1398084,2.62101775801,0.145594229905,"{""n_1"": 1132, ""n_10"": 1157, ""n_11"": 1169, ""n_12"": 1157, ""n_13"": 1144, ""n_14"": 1144, ""n_15"": 1169, ""n_16"": 1157, ""n_17"": 1144, ""n_18"": 1144, ""n_19"": 1132, ""n_2"": 1169, ""n_20"": 34081, ""n_3"": 1157, ""n_4"": 1157, ""n_5"": 1169, ""n_6"": 1157, ""n_7"": 1169, ""n_8"": 1157, ""n_9"": 1157}",1132,1169,1157,1157,1169,1157,1169,1157,1157,1157,1169,1157,1144,1144,1169,1157,1144,1144,1132,34081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,8,20,ok,200000,47470,152530,47370,28590,18780,988.421052632,21374.1398084,2.21622953834,0.170161059508,"{""n_1"": 967, ""n_10"": 990, ""n_11"": 1002, ""n_12"": 990, ""n_13"": 979, ""n_14"": 979, ""n_15"": 1002, ""n_16"": 990, ""n_17"": 979, ""n_18"": 979, ""n_19"": 967, ""n_2"": 1002, ""n_20"": 28590, ""n_3"": 990, ""n_4"": 990, ""n_5"": 1002, ""n_6"": 990, ""n_7"": 1002, ""n_8"": 990, ""n_9"": 990}",967,1002,990,990,1002,990,1002,990,990,990,1002,990,979,979,1002,990,979,979,967,28590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,8,20,ok,200000,85760,114240,85660,53960,31700,1668.42105263,21374.1398084,4.00764665936,0.196700218048,"{""n_1"": 1650, ""n_10"": 1670, ""n_11"": 1680, ""n_12"": 1670, ""n_13"": 1660, ""n_14"": 1660, ""n_15"": 1680, ""n_16"": 1670, ""n_17"": 1660, ""n_18"": 1660, ""n_19"": 1650, ""n_2"": 1680, ""n_20"": 53960, ""n_3"": 1670, ""n_4"": 1670, ""n_5"": 1680, ""n_6"": 1670, ""n_7"": 1680, ""n_8"": 1670, ""n_9"": 1670}",1650,1680,1670,1670,1680,1670,1680,1670,1670,1670,1680,1670,1660,1660,1680,1670,1660,1660,1650,53960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,8,20,ok,200000,67190,132810,67090,41752,25338,1333.57894737,21374.1398084,3.13883976625,0.220150000056,"{""n_1"": 1317, ""n_10"": 1335, ""n_11"": 1344, ""n_12"": 1335, ""n_13"": 1326, ""n_14"": 1326, ""n_15"": 1344, ""n_16"": 1335, ""n_17"": 1326, ""n_18"": 1326, ""n_19"": 1317, ""n_2"": 1344, ""n_20"": 41752, ""n_3"": 1335, ""n_4"": 1335, ""n_5"": 1344, ""n_6"": 1335, ""n_7"": 1344, ""n_8"": 1335, ""n_9"": 1335}",1317,1344,1335,1335,1344,1335,1344,1335,1335,1335,1344,1335,1326,1326,1344,1335,1326,1326,1317,41752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,8,30,ok,200000,66226,133774,66076,39953,26123,900.793103448,24467.282261,2.70058600277,0.166500168924,"{""n_1"": 906, ""n_10"": 906, ""n_11"": 883, ""n_12"": 895, ""n_13"": 895, ""n_14"": 906, ""n_15"": 895, ""n_16"": 906, ""n_17"": 895, ""n_18"": 895, ""n_19"": 883, ""n_2"": 916, ""n_20"": 895, ""n_21"": 895, ""n_22"": 895, ""n_23"": 906, ""n_24"": 906, ""n_25"": 895, ""n_26"": 895, ""n_27"": 883, ""n_28"": 895, ""n_29"": 895, ""n_3"": 916, ""n_30"": 39953, ""n_4"": 916, ""n_5"": 916, ""n_6"": 906, ""n_7"": 916, ""n_8"": 906, ""n_9"": 906}",906,916,916,916,916,906,916,906,906,906,883,895,895,906,895,906,895,895,883,895,895,895,906,906,895,895,883,895,895,39953,,,,,,,,,,,,,,,,,,,,
