algorithm,repeat,K,status,T,T0,H,Cost_n,target_cost,non_target_total_cost,non_target_avg_cost,S_T,normalized_cost,z_star,allocation_json,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,n_39,n_40,n_41,n_42,n_43,n_44,n_45,n_46,n_47,n_48,n_49,n_50
TS appendix,5,30,ok,200000,101034,98966,100884,62533,38351,1322.44827586,24467.282261,4.12322050826,0.222576793721,"{""n_1"": 1333, ""n_10"": 1324, ""n_11"": 1333, ""n_12"": 1333, ""n_13"": 1324, ""n_14"": 1324, ""n_15"": 1297, ""n_16"": 1324, ""n_17"": 1333, ""n_18"": 1324, ""n_19"": 1315, ""n_2"": 1333, ""n_20"": 1315, ""n_21"": 1333, ""n_22"": 1324, ""n_23"": 1324, ""n_24"": 1324, ""n_25"": 1306, ""n_26"": 1324, ""n_27"": 1306, ""n_28"": 1324, ""n_29"": 1315, ""n_3"": 1333, ""n_30"": 62533, ""n_4"": 1324, ""n_5"": 1324, ""n_6"": 1306, ""n_7"": 1324, ""n_8"": 1315, ""n_9"": 1333}",1333,1333,1333,1324,1324,1306,1324,1315,1333,1324,1333,1333,1324,1324,1297,1324,1333,1324,1315,1315,1333,1324,1324,1324,1306,1324,1306,1324,1315,62533,,,,,,,,,,,,,,,,,,,,
TS direct,5,30,ok,200000,76223,123777,76073,46583,29490,1016.89655172,24467.282261,3.10917245276,0.254050000049,"{""n_1"": 1026, ""n_10"": 1018, ""n_11"": 1026, ""n_12"": 1026, ""n_13"": 1018, ""n_14"": 1018, ""n_15"": 995, ""n_16"": 1018, ""n_17"": 1026, ""n_18"": 1018, ""n_19"": 1011, ""n_2"": 1026, ""n_20"": 1011, ""n_21"": 1026, ""n_22"": 1018, ""n_23"": 1018, ""n_24"": 1018, ""n_25"": 1003, ""n_26"": 1018, ""n_27"": 1003, ""n_28"": 1018, ""n_29"": 1011, ""n_3"": 1026, ""n_30"": 46583, ""n_4"": 1018, ""n_5"": 1018, ""n_6"": 1003, ""n_7"": 1018, ""n_8"": 1011, ""n_9"": 1026}",1026,1026,1026,1018,1018,1003,1018,1011,1026,1018,1026,1026,1018,1018,995,1018,1026,1018,1011,1011,1026,1018,1018,1018,1003,1018,1003,1018,1011,46583,,,,,,,,,,,,,,,,,,,,
UCB appendix,5,40,ok,200000,74750,125250,74550,44743,29807,764.282051282,26929.728668,2.76831604651,0.182813616919,"{""n_1"": 773, ""n_10"": 773, ""n_11"": 773, ""n_12"": 773, ""n_13"": 753, ""n_14"": 773, ""n_15"": 753, ""n_16"": 773, ""n_17"": 763, ""n_18"": 763, ""n_19"": 763, ""n_2"": 763, ""n_20"": 753, ""n_21"": 763, ""n_22"": 763, ""n_23"": 763, ""n_24"": 763, ""n_25"": 773, ""n_26"": 763, ""n_27"": 763, ""n_28"": 743, ""n_29"": 763, ""n_3"": 773, ""n_30"": 763, ""n_31"": 773, ""n_32"": 763, ""n_33"": 763, ""n_34"": 763, ""n_35"": 763, ""n_36"": 763, ""n_37"": 753, ""n_38"": 763, ""n_39"": 753, ""n_4"": 773, ""n_40"": 44743, ""n_5"": 763, ""n_6"": 763, ""n_7"": 763, ""n_8"": 773, ""n_9"": 773}",773,763,773,773,763,763,763,773,773,773,773,773,753,773,753,773,763,763,763,753,763,763,763,763,773,763,763,743,763,763,773,763,763,763,763,763,753,763,753,44743,,,,,,,,,,
UCB direct,5,40,ok,200000,60158,139842,59958,35577,24381,625.153846154,26929.728668,2.22646134832,0.215315739971,"{""n_1"": 633, ""n_10"": 633, ""n_11"": 633, ""n_12"": 633, ""n_13"": 615, ""n_14"": 633, ""n_15"": 615, ""n_16"": 633, ""n_17"": 624, ""n_18"": 624, ""n_19"": 624, ""n_2"": 624, ""n_20"": 615, ""n_21"": 624, ""n_22"": 624, ""n_23"": 624, ""n_24"": 624, ""n_25"": 633, ""n_26"": 624, ""n_27"": 624, ""n_28"": 606, ""n_29"": 624, ""n_3"": 633, ""n_30"": 624, ""n_31"": 633, ""n_32"": 624, ""n_33"": 624, ""n_34"": 624, ""n_35"": 624, ""n_36"": 624, ""n_37"": 615, ""n_38"": 624, ""n_39"": 615, ""n_4"": 633, ""n_40"": 35577, ""n_5"": 624, ""n_6"": 624, ""n_7"": 624, ""n_8"": 633, ""n_9"": 633}",633,624,633,633,624,624,624,633,633,633,633,633,615,633,615,633,624,624,624,615,624,624,624,624,633,624,624,606,624,624,633,624,624,624,624,624,615,624,615,35577,,,,,,,,,,
TS appendix,5,40,ok,200000,113750,86250,113550,69480,44070,1130,26929.728668,4.21652967246,0.242348355322,"{""n_1"": 1137, ""n_10"": 1137, ""n_11"": 1137, ""n_12"": 1137, ""n_13"": 1121, ""n_14"": 1137, ""n_15"": 1121, ""n_16"": 1137, ""n_17"": 1129, ""n_18"": 1129, ""n_19"": 1129, ""n_2"": 1129, ""n_20"": 1121, ""n_21"": 1129, ""n_22"": 1129, ""n_23"": 1129, ""n_24"": 1129, ""n_25"": 1137, ""n_26"": 1129, ""n_27"": 1129, ""n_28"": 1112, ""n_29"": 1129, ""n_3"": 1137, ""n_30"": 1129, ""n_31"": 1137, ""n_32"": 1129, ""n_33"": 1129, ""n_34"": 1129, ""n_35"": 1129, ""n_36"": 1129, ""n_37"": 1121, ""n_38"": 1129, ""n_39"": 1121, ""n_4"": 1137, ""n_40"": 69480, ""n_5"": 1129, ""n_6"": 1129, ""n_7"": 1129, ""n_8"": 1137, ""n_9"": 1137}",1137,1129,1137,1137,1129,1129,1129,1137,1137,1137,1137,1137,1121,1137,1121,1137,1129,1129,1129,1121,1129,1129,1129,1129,1137,1129,1129,1112,1129,1129,1137,1129,1129,1129,1129,1129,1121,1129,1121,69480,,,,,,,,,,
TS direct,5,40,ok,200000,83238,116762,83038,49697,33341,854.897435897,26929.728668,3.08350674541,0.278850000044,"{""n_1"": 861, ""n_10"": 861, ""n_11"": 861, ""n_12"": 861, ""n_13"": 847, ""n_14"": 861, ""n_15"": 847, ""n_16"": 861, ""n_17"": 854, ""n_18"": 854, ""n_19"": 854, ""n_2"": 854, ""n_20"": 847, ""n_21"": 854, ""n_22"": 854, ""n_23"": 854, ""n_24"": 854, ""n_25"": 861, ""n_26"": 854, ""n_27"": 854, ""n_28"": 840, ""n_29"": 854, ""n_3"": 861, ""n_30"": 854, ""n_31"": 861, ""n_32"": 854, ""n_33"": 854, ""n_34"": 854, ""n_35"": 854, ""n_36"": 854, ""n_37"": 847, ""n_38"": 854, ""n_39"": 847, ""n_4"": 861, ""n_40"": 49697, ""n_5"": 854, ""n_6"": 854, ""n_7"": 854, ""n_8"": 861, ""n_9"": 861}",861,854,861,861,854,854,854,861,861,861,861,861,847,861,847,861,854,854,854,847,854,854,854,854,861,854,854,840,854,854,861,854,854,854,854,854,847,854,847,49697,,,,,,,,,,
UCB appendix,5,50,ok,200000,81799,118201,81549,48728,32821,669.816326531,29009.1708178,2.81114549989,0.195907474033,"{""n_1"": 681, ""n_10"": 681, ""n_11"": 662, ""n_12"": 672, ""n_13"": 672, ""n_14"": 681, ""n_15"": 681, ""n_16"": 672, ""n_17"": 672, ""n_18"": 681, ""n_19"": 672, ""n_2"": 672, ""n_20"": 653, ""n_21"": 672, ""n_22"": 662, ""n_23"": 681, ""n_24"": 672, ""n_25"": 681, ""n_26"": 672, ""n_27"": 672, ""n_28"": 681, ""n_29"": 662, ""n_3"": 681, ""n_30"": 662, ""n_31"": 681, ""n_32"": 681, ""n_33"": 653, ""n_34"": 653, ""n_35"": 662, ""n_36"": 662, ""n_37"": 681, ""n_38"": 672, ""n_39"": 672, ""n_4"": 681, ""n_40"": 643, ""n_41"": 672, ""n_42"": 672, ""n_43"": 672, ""n_44"": 653, ""n_45"": 672, ""n_46"": 653, ""n_47"": 662, ""n_48"": 643, ""n_49"": 662, ""n_5"": 681, ""n_50"": 48728, ""n_6"": 672, ""n_7"": 672, ""n_8"": 672, ""n_9"": 672}",681,672,681,681,681,672,672,672,672,681,662,672,672,681,681,672,672,681,672,653,672,662,681,672,681,672,672,681,662,662,681,681,653,653,662,662,681,672,672,643,672,672,672,653,672,653,662,643,662,48728
UCB direct,5,50,ok,200000,64648,135352,64398,38123,26275,536.224489796,29009.1708178,2.21991867346,0.23233685401,"{""n_1"": 546, ""n_10"": 546, ""n_11"": 530, ""n_12"": 538, ""n_13"": 538, ""n_14"": 546, ""n_15"": 546, ""n_16"": 538, ""n_17"": 538, ""n_18"": 546, ""n_19"": 538, ""n_2"": 538, ""n_20"": 521, ""n_21"": 538, ""n_22"": 530, ""n_23"": 546, ""n_24"": 538, ""n_25"": 546, ""n_26"": 538, ""n_27"": 538, ""n_28"": 546, ""n_29"": 530, ""n_3"": 546, ""n_30"": 530, ""n_31"": 546, ""n_32"": 546, ""n_33"": 521, ""n_34"": 521, ""n_35"": 530, ""n_36"": 530, ""n_37"": 546, ""n_38"": 538, ""n_39"": 538, ""n_4"": 546, ""n_40"": 513, ""n_41"": 538, ""n_42"": 538, ""n_43"": 538, ""n_44"": 521, ""n_45"": 538, ""n_46"": 521, ""n_47"": 530, ""n_48"": 513, ""n_49"": 530, ""n_5"": 546, ""n_50"": 38123, ""n_6"": 538, ""n_7"": 538, ""n_8"": 538, ""n_9"": 538}",546,538,546,546,546,538,538,538,538,546,530,538,538,546,546,538,538,546,538,521,538,530,546,538,546,538,538,546,530,530,546,546,521,521,530,530,546,538,538,513,538,538,538,521,538,521,530,513,530,38123
TS appendix,5,50,ok,200000,124626,75374,124376,75370,49006,1000.12244898,29009.1708178,4.28747173717,0.258335494838,"{""n_1"": 1009, ""n_10"": 1009, ""n_11"": 994, ""n_12"": 1002, ""n_13"": 1002, ""n_14"": 1009, ""n_15"": 1009, ""n_16"": 1002, ""n_17"": 1002, ""n_18"": 1009, ""n_19"": 1002, ""n_2"": 1002, ""n_20"": 986, ""n_21"": 1002, ""n_22"": 994, ""n_23"": 1009, ""n_24"": 1002, ""n_25"": 1009, ""n_26"": 1002, ""n_27"": 1002, ""n_28"": 1009, ""n_29"": 994, ""n_3"": 1009, ""n_30"": 994, ""n_31"": 1009, ""n_32"": 1009, ""n_33"": 986, ""n_34"": 986, ""n_35"": 994, ""n_36"": 994, ""n_37"": 1009, ""n_38"": 1002, ""n_39"": 1002, ""n_4"": 1009, ""n_40"": 979, ""n_41"": 1002, ""n_42"": 1002, ""n_43"": 1002, ""n_44"": 986, ""n_45"": 1002, ""n_46"": 986, ""n_47"": 994, ""n_48"": 979, ""n_49"": 994, ""n_5"": 1009, ""n_50"": 75370, ""n_6"": 1002, ""n_7"": 1002, ""n_8"": 1002, ""n_9"": 1002}",1009,1002,1009,1009,1009,1002,1002,1002,1002,1009,994,1002,1002,1009,1009,1002,1002,1009,1002,986,1002,994,1009,1002,1009,1002,1002,1009,994,994,1009,1009,986,986,994,994,1009,1002,1002,979,1002,1002,1002,986,1002,986,994,979,994,75370
TS direct,5,50,ok,200000,88913,111087,88663,52456,36207,738.918367347,29009.1708178,3.0563782935,0.30080000004,"{""n_1"": 747, ""n_10"": 747, ""n_11"": 734, ""n_12"": 740, ""n_13"": 740, ""n_14"": 747, ""n_15"": 747, ""n_16"": 740, ""n_17"": 740, ""n_18"": 747, ""n_19"": 740, ""n_2"": 740, ""n_20"": 727, ""n_21"": 740, ""n_22"": 734, ""n_23"": 747, ""n_24"": 740, ""n_25"": 747, ""n_26"": 740, ""n_27"": 740, ""n_28"": 747, ""n_29"": 734, ""n_3"": 747, ""n_30"": 734, ""n_31"": 747, ""n_32"": 747, ""n_33"": 727, ""n_34"": 727, ""n_35"": 734, ""n_36"": 734, ""n_37"": 747, ""n_38"": 740, ""n_39"": 740, ""n_4"": 747, ""n_40"": 721, ""n_41"": 740, ""n_42"": 740, ""n_43"": 740, ""n_44"": 727, ""n_45"": 740, ""n_46"": 727, ""n_47"": 734, ""n_48"": 721, ""n_49"": 734, ""n_5"": 747, ""n_50"": 52456, ""n_6"": 740, ""n_7"": 740, ""n_8"": 740, ""n_9"": 740}",747,740,747,747,747,740,740,740,740,747,734,740,740,747,747,740,740,747,740,727,740,734,747,740,747,740,740,747,734,734,747,747,727,727,734,734,747,740,740,721,740,740,740,727,740,727,734,721,734,52456
