algorithm,repeat,K,T,status,cost,native_cost,cost_definition,target_ratio,post_phase_ratio,target_pulls,non_target_pulls,clipped_cost,requested_cost
Xu2021 observation-free UCB,3,30,200000,infeasible,,2636512.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2636512.0
Xu2021 observation-free TS,3,30,200000,infeasible,,2636512.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2636512.0
Our offline UCB,3,40,200000,ok,59908.0,59908.0,injected samples,1.0,,139892,0,0.0,59908.0
Our offline TS,3,40,200000,ok,83003.0,83003.0,injected samples,1.0,,116797,0,0.0,83003.0
Jun2018 clipped UCB,3,40,200000,failed,151762,151762,online reward-lowering modification count clipped at r_l,0.03787,,7574,192426,51320288.240170695,51472050.24017073
Zuo2024 clipped TS,3,40,200000,failed,149276,149276,online reward-lowering modification count clipped at r_l,0.05421,,10842,189158,8.904711108150766e+17,8.904711108152261e+17
Xu2021 observation-free UCB,3,40,200000,infeasible,,3515350.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,3515350.0
Xu2021 observation-free TS,3,40,200000,infeasible,,3515350.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,3515350.0
Our offline UCB,3,50,200000,ok,64326.0,64326.0,injected samples,1.0,,135424,0,0.0,64326.0
Our offline TS,3,50,200000,ok,88613.0,88613.0,injected samples,1.0,,111137,0,0.0,88613.0
Jun2018 clipped UCB,3,50,200000,failed,149908,149908,online reward-lowering modification count clipped at r_l,0.031075,,6215,193785,43615689.745082885,43765597.745082505
Zuo2024 clipped TS,3,50,200000,failed,148008,148008,online reward-lowering modification count clipped at r_l,0.04346,,8692,191308,7.249871464702624e+17,7.249871464704084e+17
Xu2021 observation-free UCB,3,50,200000,infeasible,,4394188.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,4394188.0
Xu2021 observation-free TS,3,50,200000,infeasible,,4394188.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,4394188.0
Our offline UCB,4,5,200000,ok,27847.0,27847.0,injected samples,1.0,,172128,0,0.0,27847.0
Our offline TS,4,5,200000,ok,41966.0,41966.0,injected samples,1.0,,158009,0,0.0,41966.0
Jun2018 clipped UCB,4,5,200000,failed,80436,80436,online reward-lowering modification count clipped at r_l,0.50982,,101964,98036,37714506.92746936,37794942.92746928
