algorithm,repeat,K,T,status,cost,native_cost,cost_definition,target_ratio,post_phase_ratio,target_pulls,non_target_pulls,clipped_cost,requested_cost
Jun2018 clipped UCB,9,40,200000,failed,151434,151434,online reward-lowering modification count clipped at r_l,0.04021,,8042,191958,49206935.46203938,49358369.46203911
Zuo2024 clipped TS,9,40,200000,failed,147200,147200,online reward-lowering modification count clipped at r_l,0.0672,,13440,186560,8.662128664650423e+17,8.6621286646519e+17
Xu2021 observation-free UCB,9,40,200000,infeasible,,3515350.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,3515350.0
Xu2021 observation-free TS,9,40,200000,infeasible,,3515350.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,3515350.0
Our offline UCB,9,50,200000,ok,64417.0,64417.0,injected samples,1.0,,135333,0,0.0,64417.0
Our offline TS,9,50,200000,ok,88677.0,88677.0,injected samples,1.0,,111073,0,0.0,88677.0
Jun2018 clipped UCB,9,50,200000,failed,150140,150140,online reward-lowering modification count clipped at r_l,0.03088,,6176,193824,45916752.115756854,46066892.11575644
Zuo2024 clipped TS,9,50,200000,failed,148150,148150,online reward-lowering modification count clipped at r_l,0.041705,,8341,191659,7.276345027694369e+17,7.276345027695864e+17
Xu2021 observation-free UCB,9,50,200000,infeasible,,4394188.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,4394188.0
Xu2021 observation-free TS,9,50,200000,infeasible,,4394188.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,4394188.0
